game_id,season,week,play_id,game_play_number,sequence_number,period,clock_minutes,clock_seconds,pos_team_id,home_team_id,away_team_id,home_score_start,away_score_start,yards_to_endzone_start,play_type,orig_play_type,status_completed
401864494,2026,1,401864494732,158,155,4,1,52,23,30,23,42,18,7,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494735,159,156,4,1,45,23,30,23,42,18,7,Rushing Touchdown,Rushing Touchdown,true
401864494,2026,1,401864494744,160,158,4,1,44,30,30,23,42,26,65,Kickoff,Kickoff,true
401864494,2026,1,401864494748,161,159,4,1,38,30,30,23,42,26,43,Rush,Rush,true
401864494,2026,1,401864494752,162,160,4,0,52,30,30,23,42,26,38,Rush,Rush,true
401864494,2026,1,401864494756,163,161,4,0,14,30,30,23,42,26,32,Rush,Rush,true
401856766,2026,1,4018567663,1,1,1,15,0,153,2628,153,0,0,65,Kickoff,Kickoff,true
401856766,2026,1,40185676612,2,2,1,14,34,153,2628,153,0,0,75,Pass Reception,Pass Reception,true
401856766,2026,1,40185676617,3,3,1,14,14,153,2628,153,0,0,55,Rush,Rush,true
401856766,2026,1,40185676621,4,4,1,13,30,153,2628,153,0,0,52,Pass Reception,Pass Reception,true
401856766,2026,1,40185676626,5,5,1,12,53,153,2628,153,0,0,17,Rush,Rush,true
401856766,2026,1,40185676630,6,6,1,12,16,153,2628,153,0,0,14,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,40185676633,7,7,1,12,4,153,2628,153,0,0,14,Pass Reception,Pass Reception,true
401856766,2026,1,40185676638,8,8,1,11,31,153,2628,153,0,0,5,Rush,Rush,true
401856766,2026,1,40185676642,9,9,1,10,49,153,2628,153,0,0,1,Rush,Rush,true
401856766,2026,1,40185676646,10,10,1,10,11,153,2628,153,0,0,2,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,40185676651,11,11,1,10,7,153,2628,153,0,0,2,Field Goal Good,Field Goal Good,true
401856766,2026,1,40185676654,12,12,1,10,7,2628,2628,153,0,3,65,Kickoff,Kickoff,true
401856766,2026,1,40185676657,13,13,1,9,59,2628,2628,153,0,3,75,Rush,Rush,true
401856766,2026,1,40185676661,14,14,1,9,22,2628,2628,153,0,3,70,Pass Reception,Pass Reception,true
401856766,2026,1,40185676666,15,15,1,8,42,2628,2628,153,0,3,65,Rush,Rush,true
401856766,2026,1,40185676670,16,16,1,8,19,2628,2628,153,0,3,17,Rush,Rush,true
401856766,2026,1,40185676674,17,17,1,7,58,2628,2628,153,0,3,15,Pass Reception,Pass Reception,true
401856766,2026,1,40185676679,18,18,1,7,24,2628,2628,153,0,3,13,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,40185676682,19,19,1,7,20,2628,2628,153,0,3,13,Field Goal Good,Field Goal Good,true
401856766,2026,1,40185676685,20,20,1,7,20,153,2628,153,3,3,65,Kickoff,Kickoff,true
401856766,2026,1,40185676688,21,21,1,7,15,153,2628,153,3,3,75,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,40185676691,22,22,1,7,5,153,2628,153,3,3,75,Rush,Rush,true
401856766,2026,1,40185676695,23,23,1,6,23,153,2628,153,3,3,68,Sack,Sack,true
401856766,2026,1,40185676699,24,24,1,5,41,153,2628,153,3,3,77,Punt Return,Punt Return,true
401856766,2026,1,401856766105,25,25,1,5,26,2628,2628,153,3,3,25,Pass Reception,Pass Reception,true
401856766,2026,1,401856766110,26,26,1,4,57,2628,2628,153,3,3,12,Rush,Rush,true
401856766,2026,1,401856766114,27,27,1,4,37,2628,2628,153,3,3,7,Rush,Rush,true
401856766,2026,1,401856766118,28,28,1,4,0,2628,2628,153,3,3,2,Rushing Touchdown,Rushing Touchdown,true
401856766,2026,1,401856766125,29,30,1,4,0,153,2628,153,10,3,65,Kickoff,Kickoff,true
401856766,2026,1,401856766132,30,31,1,3,51,153,2628,153,10,3,70,Pass Reception,Pass Reception,true
401856766,2026,1,401856766183,31,32,1,3,36,153,2628,153,10,3,49,Pass Reception,Pass Reception,true
401856766,2026,1,401856766142,32,33,1,2,57,153,2628,153,10,3,30,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766150,33,35,1,2,8,153,2628,153,10,3,33,Rush,Rush,true
401856766,2026,1,401856766154,34,36,1,1,24,153,2628,153,10,3,27,Pass Reception,Pass Reception,true
401856766,2026,1,401856766159,35,37,1,1,4,153,2628,153,10,3,9,Rushing Touchdown,Rushing Touchdown,true
401856766,2026,1,401856766166,36,39,1,1,4,2628,2628,153,10,10,65,Kickoff,Kickoff,true
401856766,2026,1,401856766169,37,40,1,0,45,2628,2628,153,10,10,75,Pass Reception,Pass Reception,true
401856766,2026,1,401856766174,38,41,1,0,28,2628,2628,153,10,10,35,Rush,Rush,true
401856766,2026,1,401856766188,40,34,1,2,55,153,2628,153,10,10,30,Sack,Sack,true
401856766,2026,1,401856766194,41,42,2,14,55,2628,2628,153,10,10,37,Rush,Rush,true
401856766,2026,1,401856766200,42,43,2,14,15,2628,2628,153,10,10,34,Rush,Rush,true
401856766,2026,1,401856766205,43,44,2,13,55,2628,2628,153,10,10,36,Pass Reception,Pass Reception,true
401856766,2026,1,401856766210,44,45,2,13,16,2628,2628,153,10,10,35,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766212,45,44,2,13,20,153,2628,153,10,10,64,Timeout,Timeout,true
401856766,2026,1,401856766215,46,46,2,13,9,153,2628,153,10,10,65,Rush,Rush,true
401856766,2026,1,401856766219,47,47,2,12,40,153,2628,153,10,10,65,Pass Reception,Pass Reception,true
401856766,2026,1,401856766224,48,48,2,12,7,153,2628,153,10,10,52,Rush,Rush,true
401856766,2026,1,401856766228,49,49,2,11,30,153,2628,153,10,10,48,Penalty,Penalty,true
401856766,2026,1,401856766233,50,50,2,10,58,153,2628,153,10,10,58,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766236,51,51,2,10,53,153,2628,153,10,10,58,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766239,52,52,2,10,43,153,2628,153,10,10,58,Punt Return,Punt Return,true
401856766,2026,1,401856766245,53,53,2,10,36,2628,2628,153,10,10,83,Rush,Rush,true
401856766,2026,1,401856766249,54,54,2,9,52,2628,2628,153,10,10,80,Pass Reception,Pass Reception,true
401856766,2026,1,401856766254,55,55,2,9,11,2628,2628,153,10,10,77,Pass Reception,Pass Reception,true
401856766,2026,1,401856766259,56,56,2,8,47,2628,2628,153,10,10,70,Pass Reception,Pass Reception,true
401856766,2026,1,401856766264,57,57,2,8,21,2628,2628,153,10,10,67,Rush,Rush,true
401856766,2026,1,401856766268,58,58,2,7,48,2628,2628,153,10,10,56,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766271,59,59,2,7,45,2628,2628,153,10,10,56,Penalty,Penalty,true
401856766,2026,1,401856766276,60,60,2,7,16,2628,2628,153,10,10,66,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766279,61,61,2,7,11,2628,2628,153,10,10,66,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766282,62,62,2,7,5,2628,2628,153,10,10,66,Punt,Punt,true
401856766,2026,1,401856766286,63,63,2,6,52,153,2628,153,10,10,72,Rush,Rush,true
401856766,2026,1,401856766290,64,64,2,6,21,153,2628,153,10,10,61,Rush,Rush,true
401856766,2026,1,401856766294,65,65,2,5,44,153,2628,153,10,10,59,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766297,66,66,2,5,39,153,2628,153,10,10,59,Pass Incompletion,Pass Incompletion,true
401856766,2026,1,401856766300,67,67,2,5,30,153,2628,153,10,10,59,Punt,Punt,true
401856766,2026,1,401856766304,68,68,2,5,24,2628,2628,153,10,10,85,Rush,Rush,true
401856766,2026,1,401856766308,69,69,2,4,41,2628,2628,153,10,10,81,Rush,Rush,true
401856766,2026,1,401856766312,70,70,2,4,4,2628,2628,153,10,10,76,Rush,Rush,true
401856766,2026,1,401856766316,71,71,2,3,31,2628,2628,153,10,10,70,Penalty,Penalty,true
